date,arrival,hong kong casino,tiger airways,cathay pacific,macao travel blog,map of hong kong,cheap flights,royal hotel,cebu pacific,jetstar,thailand,flights to hong kong,wing on travel,china map,agoda,hongkong,asia travel,china,weather hong kong,hong kong best food,ferry terminal,hong kong light show,bangkok,hong kong airport,china travel,what to do in hongkong,hong kong shopping,hongkong weather,hong kong hotel,weather forecast,hong kong,iifa awards 2013 full show,hong kong weather forecast,venetian,galaxy,best food in hong kong,venetian hotel,hong kong travel,mgm,city of dreams,the house of dancing water,weather hk,hong kong disneyland,hong kong ferry,air asia,weather singapore,sands casino,lisboa casino,singapore to hongkong,shopping in hong kong,singapore airlines,hong kong tourism,hong kong weather,world map,google flights,hotel lisboa,google map,weather in hong kong,galaxy casino,hongkong tourism,wynn casino,macao restaurant,house of dancing water,travel agency,hongkong map,ozone bar hong kong,galaxy hotel,hotel in hong kong,weather forecast hong kong,venetian casino,airasia,hong kong map,hong kong ferry terminal,bali,macao casino,skyscanner,AGODA,Skyscanner,shows in macau,singapore to macau,macau airlines,macau on map,macau venetian,galaxy macau hotel,macau grand hotel,macau tauranga,casino in macau,macau ferry terminal,macau restaurant jamaica,macau food festival,hong kong to macau travel time,venetian hotel macau,macau nightlife,macau hotel venetian,hotel in macau,flights to macau,weather in macau,macau restaurant menu,macaulay culkin,dancing water show macau schedule,best food in macau,hotel macau,city of dreams macau,hong kong airport to macau,dancing water macau,macau portuguese restaurant,macau china weather,macau gaming lounge & bar,galaxy macau,hong kong ferry to macau,macau chinese restaurant,hk to macau ferry,casinos macau,macau tourism,macau shows,hong kong macau,macau food festival 2015,macau restaurants,best restaurant in macau,macau water show,galaxy casino macau,macau restaurant hong kong,hongkong macau,weather in macau in december,accommodation in macau,venetian macau shopping,agoda macau,heart bar macau,weather forecast in macau,hongkong cheap flights,macau food blog,macau tourism board,flights to macau from singapore,hongkong packages,macau travel blog,macau gaming show,hong kong macau map,macau time,macau weather today,best hotel macau,halal food in macau,macau show bar,hotel lisboa macau,from hong kong to macau,venetian casino macau,venetian macau casino,shopping in macau,macau food festival 2014,venetian macau,macau shopping mall,macau shopping guide,ferry macau to hong kong airport,hk to macau,macau food guide,casino lisboa macau,hong kong to macau ferry,macau hotels,macau food festival 2017,air macau,macau things to do,macau china,what to do in macau,wing on travel macau,macau food festival 2012,hong kong to macau,macau city,macau light show,map of macau,macau weather december,macau airport,hongkong macau ferry,macau restaurant tauranga,ferry to macau,macau hk ferry,wynn macau,macau food festival 2016,macau casino,macau island,restaurants in macau,macau ferry,ferry macau hong kong,macau ferry terminal hong kong,macau ferry from hong kong,macau ferry terminal map,iifa awards 2013 macau full show,macau galaxy,macau map,macau world map,macau package,grand macau casino,macau tower,macau hong kong,food festival macau,macaulay culkin
2011-11,3553000,75,67,56,67,51,70,71,86,78,51,80,68,72,52,55,78,93,68,31,41,37,69,88,73,79,98,86,95,57,88,0,83,77,56,40,55,82,52,18,63,46,81,43,31,47,53,79,88,100,93,93,68,59,5,67,71,89,73,76,66,61,79,76,84,38,66,91,83,61,29,71,65,42,67,15,28146,4662,82,91,91,66,79,82,85,0,83,76,0,63,22,88,78,88,84,67,68,27,10,59,53,81,60,66,66,16,20,0,41,78,48,67,53,96,78,90,0,74,45,87,18,73,74,61,48,51,35,0,100,68,37,57,81,67,52,0,84,29,8,84,43,0,100,99,78,78,75,0,79,58,0,87,69,34,61,78,87,0,81,60,60,66,22,0,81,43,23,91,64,87,97,0,77,59,77,0,86,78,58,89,89,58,79,100,0,41,71,69,65,75,74,90,63,2217
2011-12,4151000,54,65,50,53,51,63,63,72,80,47,68,51,58,54,56,73,85,73,42,41,43,63,90,62,92,96,100,79,67,82,0,71,74,67,69,52,67,51,16,67,53,75,33,32,54,54,100,84,93,82,84,73,54,5,57,68,85,59,75,72,70,77,71,70,45,68,82,71,61,30,62,55,38,41,14,30214,5070,88,88,71,30,69,83,58,0,50,73,0,17,44,68,89,68,60,66,84,18,27,57,0,73,53,66,68,56,79,0,54,68,19,47,46,81,84,82,0,73,17,76,25,88,77,65,23,60,52,0,34,82,54,69,89,61,39,0,72,26,11,69,42,0,58,66,70,70,77,0,69,56,45,60,50,33,60,68,76,0,70,57,63,38,21,31,69,35,23,74,60,72,77,0,68,39,67,0,60,68,81,79,69,60,58,52,0,54,76,58,62,60,68,82,17,2742
2012-01,4142000,73,66,54,60,51,86,80,100,82,52,83,46,68,57,52,79,85,64,21,37,36,69,84,73,81,78,72,77,72,80,0,67,86,59,45,66,69,59,19,62,52,71,34,28,40,100,46,83,72,100,79,64,63,7,64,69,80,56,55,69,40,59,86,70,24,63,78,67,85,31,62,60,44,52,22,30347,6057,67,75,74,33,70,64,57,0,60,71,0,0,40,61,84,61,60,55,71,24,10,53,57,65,51,71,55,67,36,0,50,74,43,66,58,68,57,78,0,56,24,49,31,30,57,20,65,37,45,0,23,52,33,52,55,60,24,0,66,18,28,64,39,27,78,80,53,53,60,0,70,43,0,36,55,31,65,74,73,0,73,50,63,48,10,0,77,30,21,77,6,83,69,0,75,61,66,0,66,74,64,77,76,52,77,32,0,50,64,74,62,74,65,78,0,2301
2012-02,3371000,62,70,56,63,47,80,79,86,87,49,81,61,69,61,55,76,88,72,41,39,35,66,83,78,84,85,72,89,82,85,0,77,84,59,47,63,74,65,18,52,59,73,39,26,38,77,57,87,88,100,79,72,62,6,71,69,82,63,38,70,48,60,88,62,30,68,95,77,67,43,62,87,45,49,20,35901,8343,35,71,88,28,72,57,53,0,69,73,0,0,42,60,95,60,71,64,82,17,60,0,30,73,61,51,53,39,76,0,48,63,36,43,60,90,70,86,0,78,42,55,39,63,69,16,45,59,65,0,33,74,70,24,48,52,37,0,63,23,18,57,41,0,72,74,70,70,59,0,72,36,88,80,52,32,29,63,75,0,84,47,69,73,0,0,73,37,0,74,13,71,47,0,62,47,75,0,63,52,55,64,74,65,78,89,0,48,65,34,61,38,70,86,0,2814
2012-03,3709000,79,69,57,56,57,77,79,87,82,47,84,61,72,63,59,77,89,72,40,41,43,61,91,78,75,84,63,87,73,88,0,82,80,59,44,56,76,65,18,46,60,78,41,23,41,66,46,83,77,91,78,72,58,6,78,72,88,53,63,75,66,65,82,87,33,67,90,82,63,37,72,69,41,53,21,37330,8398,59,86,88,27,68,79,49,0,62,78,0,16,29,65,63,65,68,59,81,16,17,0,19,73,53,76,64,73,53,0,47,67,17,38,54,73,75,86,0,58,16,52,22,59,75,10,21,36,69,0,26,88,32,45,45,80,23,42,83,25,34,69,38,27,80,85,60,60,52,0,68,0,0,54,56,59,41,67,66,0,87,48,71,63,14,56,72,32,0,62,6,93,50,0,74,63,71,0,64,54,55,73,86,67,61,93,0,47,69,64,58,84,49,86,16,2524
2012-04,3840000,89,66,54,55,51,67,79,75,77,46,82,54,70,65,56,70,88,66,32,46,48,60,91,75,81,85,59,83,80,85,0,75,80,62,41,54,72,64,16,51,62,69,40,19,45,65,49,83,78,83,86,66,55,6,74,73,73,64,65,57,65,68,79,81,27,68,85,75,65,30,65,67,41,51,22,35266,8799,41,73,79,50,64,69,48,0,70,56,0,17,20,63,76,63,71,62,65,41,20,0,20,69,56,73,53,53,93,0,58,61,17,49,64,71,27,82,0,59,57,52,23,93,69,10,33,47,54,0,46,82,0,18,56,68,48,44,79,20,18,63,59,0,47,73,69,69,79,0,64,35,0,54,58,62,89,61,71,0,71,55,62,66,10,0,72,36,0,68,6,72,64,0,68,54,71,0,77,68,46,76,76,59,86,59,0,58,64,46,55,63,60,82,17,2479
2012-05,3639000,76,68,50,86,47,71,79,66,87,46,85,56,66,65,54,71,87,48,37,53,52,60,78,72,81,88,39,81,87,85,0,65,78,73,30,59,70,62,22,48,42,75,39,21,37,68,33,86,85,83,82,48,54,6,72,72,61,65,49,65,100,61,81,68,27,77,77,65,66,38,66,65,41,41,23,37440,9814,26,74,76,42,69,78,57,0,69,64,0,0,58,65,55,65,68,51,51,16,12,0,55,71,48,59,59,21,52,0,51,68,41,49,81,74,64,83,0,54,31,51,24,92,71,10,21,53,51,0,13,68,32,28,79,72,34,42,60,24,20,60,37,0,79,68,65,65,78,0,69,100,40,86,53,29,62,68,71,0,83,45,62,54,9,0,76,36,40,63,9,80,51,0,73,58,71,0,70,58,65,72,74,75,59,51,0,51,71,83,71,83,79,83,0,2234
2012-06,3621000,74,73,47,56,42,75,86,56,78,50,76,61,53,66,53,68,85,60,43,58,43,61,86,69,87,86,38,77,98,82,0,74,83,79,31,60,71,58,25,57,81,69,39,18,36,65,26,86,81,84,68,60,50,6,71,75,60,74,60,64,57,63,82,62,28,90,75,74,68,33,61,78,42,50,24,36571,8714,40,81,74,16,67,100,47,0,58,62,0,0,39,62,70,62,65,59,36,16,13,52,38,69,48,68,57,58,78,0,56,66,34,50,57,66,56,85,0,62,32,65,41,30,75,10,32,100,53,0,9,84,33,45,54,94,23,21,61,21,7,61,38,0,64,67,84,84,59,0,67,60,41,69,49,0,50,66,71,0,89,45,71,74,10,0,77,33,41,53,9,81,64,0,69,53,71,0,79,70,55,72,75,67,53,21,0,56,61,61,66,42,65,85,0,2240
2012-07,4370000,67,84,51,56,43,76,92,61,82,50,93,56,51,71,54,73,85,77,31,65,68,65,98,72,92,96,57,80,94,86,0,94,89,82,44,64,71,62,24,55,88,71,43,21,40,75,25,87,82,86,58,77,51,7,88,77,74,62,52,68,59,65,86,57,38,100,82,94,65,37,63,89,44,58,26,48521,9736,65,67,74,21,68,91,54,0,58,75,0,8,67,61,62,61,66,85,57,47,14,0,37,78,48,73,63,36,47,0,61,80,25,51,56,60,100,82,0,75,31,69,30,68,72,10,21,80,70,0,22,77,80,39,26,62,34,0,65,22,13,60,37,53,76,78,82,82,51,0,68,50,0,68,56,29,45,80,73,0,92,56,67,62,47,28,77,40,0,60,6,93,64,0,78,67,59,0,66,65,58,76,85,74,66,72,0,61,59,52,73,77,78,82,8,2672
2012-08,4899000,63,82,53,60,53,71,89,66,83,49,90,65,56,73,54,72,90,67,49,65,53,65,94,74,96,80,44,85,79,91,0,93,88,82,22,65,72,61,37,57,89,69,42,20,40,79,26,88,74,81,70,67,56,7,78,75,64,59,75,68,53,77,81,63,38,94,91,93,73,34,67,70,46,46,25,55850,9691,33,74,96,26,66,84,45,0,71,72,0,0,49,66,56,66,77,74,61,24,53,0,46,78,56,62,53,29,53,0,54,76,50,70,85,55,68,89,0,60,55,66,22,88,73,34,21,89,85,0,39,73,48,39,80,65,57,0,84,24,13,77,0,0,61,87,94,94,65,0,66,84,0,72,62,74,31,76,73,0,92,54,64,42,33,0,78,34,0,51,24,84,59,0,80,93,54,0,74,73,29,86,79,71,73,93,0,54,78,36,65,42,72,89,0,3815
2012-09,3785000,82,85,49,61,51,65,78,65,83,52,91,67,65,72,56,77,94,45,43,49,35,66,86,73,79,93,41,88,64,89,0,58,82,91,39,57,71,59,52,61,37,78,47,22,40,63,31,92,87,79,72,45,63,7,79,76,61,70,71,68,41,66,74,60,47,85,90,58,63,42,67,68,44,70,25,50302,9030,39,62,81,21,60,75,59,0,87,88,22,23,48,62,70,62,68,92,62,16,56,52,0,77,59,71,59,79,18,0,48,81,25,68,77,79,68,88,0,61,47,55,26,59,74,38,31,36,74,0,48,78,0,28,62,94,34,21,69,26,7,75,38,26,90,88,85,85,92,0,60,92,80,87,72,29,67,81,77,0,81,58,64,47,14,28,85,35,20,69,32,86,64,0,79,76,58,0,68,80,47,87,82,80,74,87,0,48,60,40,59,36,74,88,23,2526
2012-10,4244000,61,78,48,61,51,60,74,75,84,50,83,56,56,75,59,72,84,50,51,45,42,64,85,68,81,91,53,88,66,88,0,61,76,89,43,52,74,54,38,34,33,83,100,21,43,66,43,86,89,75,69,50,54,7,72,72,82,86,67,55,37,70,76,67,34,79,85,61,60,40,67,86,42,53,25,49588,10041,59,80,77,38,63,72,43,0,74,60,20,32,61,66,69,66,73,58,72,70,17,46,25,74,49,79,63,52,48,0,44,89,15,72,46,72,64,88,0,58,14,42,29,92,69,26,47,24,83,0,31,66,58,55,87,75,21,0,78,24,12,97,34,0,87,85,79,79,52,0,63,45,36,91,76,27,36,89,74,0,84,47,68,49,21,100,77,41,27,54,29,94,79,0,85,89,59,0,77,65,59,88,92,74,81,69,0,44,61,39,57,43,69,88,32,2093
2012-11,4217000,82,82,47,100,39,55,68,73,77,51,78,67,57,75,64,73,83,69,31,40,40,66,82,57,82,91,78,83,56,89,0,92,72,90,60,47,62,53,34,62,52,83,43,22,53,62,43,83,83,72,66,69,51,7,58,67,89,97,53,51,57,70,72,59,55,78,80,92,54,41,63,83,40,97,23,53359,10478,77,86,88,53,62,76,56,0,100,77,0,68,44,63,64,63,71,82,78,29,21,0,34,75,48,77,59,79,43,0,46,84,38,83,53,71,86,91,0,72,64,47,29,85,81,92,19,24,87,0,40,54,29,41,56,76,42,0,85,40,18,61,0,48,85,95,75,75,44,0,62,53,37,90,69,40,65,84,70,0,84,45,76,45,17,89,83,37,37,73,86,94,63,0,87,94,64,0,100,79,50,88,99,83,92,66,0,46,68,55,67,54,71,91,68,2325
2012-12,4778000,86,80,45,62,37,52,61,61,82,52,68,57,51,76,66,65,84,73,63,41,44,65,82,56,92,91,71,69,74,83,1,90,68,100,59,44,57,63,34,65,72,79,43,19,52,70,57,83,87,64,61,73,50,7,52,66,90,100,43,46,64,74,69,51,51,79,71,90,53,37,59,79,40,58,21,53979,10488,65,71,58,33,61,64,34,0,65,90,20,7,61,53,66,53,64,49,99,28,43,47,17,63,44,70,78,58,90,0,42,80,53,76,46,61,73,89,0,72,35,61,27,53,79,78,38,65,70,0,32,37,29,55,56,53,21,0,68,28,21,53,34,0,57,87,100,100,77,0,61,61,0,60,62,27,28,80,60,0,70,62,61,61,13,0,83,37,27,52,51,84,64,0,71,87,58,0,77,94,56,89,91,80,72,56,0,42,62,47,53,38,82,89,7,2900
2013-01,4632926,72,88,51,61,49,71,76,79,87,51,95,63,54,79,62,74,83,60,38,37,43,71,78,67,80,80,60,77,82,83,1,63,79,87,55,58,69,72,34,46,54,75,38,23,51,69,29,84,82,80,58,60,56,11,64,65,76,70,31,60,35,56,88,67,33,76,75,63,71,46,61,69,46,74,32,66100,11710,43,75,82,61,54,60,43,0,73,68,18,7,24,57,39,57,62,83,68,46,17,0,31,62,53,66,49,48,78,0,40,74,62,98,53,54,59,81,0,59,26,55,17,69,87,16,43,59,65,0,29,76,53,14,73,69,57,0,84,23,20,64,32,0,66,80,80,80,57,0,54,35,0,71,80,24,34,74,60,0,77,74,66,54,12,0,78,35,100,75,10,85,57,0,78,82,61,0,84,60,57,80,77,60,94,51,0,40,65,60,63,35,71,81,7,2725
2013-02,4022120,68,82,47,62,41,66,75,77,76,49,82,61,55,71,59,64,80,52,45,41,32,68,72,60,75,75,47,70,65,77,5,58,80,83,64,59,65,67,33,45,51,68,35,19,53,67,28,80,67,73,61,52,54,10,67,66,68,73,27,48,51,54,81,54,50,78,70,58,63,38,54,68,43,61,31,63110,10960,53,60,59,48,53,50,40,0,88,56,0,14,26,49,45,49,58,61,61,28,13,0,17,56,42,53,49,39,37,0,38,69,53,68,74,56,47,77,0,44,35,58,15,67,81,9,56,24,63,0,28,66,0,30,48,79,83,0,56,23,18,53,34,0,70,73,87,87,43,0,53,38,0,75,59,27,57,69,56,0,67,42,65,61,21,0,69,33,0,57,0,75,44,0,63,63,55,0,77,86,56,66,61,56,80,28,0,38,65,40,49,54,87,77,14,2234
2013-03,4087286,86,99,50,56,42,67,76,75,78,49,87,73,56,81,61,69,83,64,52,47,44,67,83,67,79,85,47,81,78,86,5,70,77,97,74,57,69,65,35,54,60,90,41,20,46,66,21,85,80,73,65,64,56,11,75,69,84,82,45,63,53,59,84,54,60,88,86,70,58,39,61,59,43,47,33,78265,13152,68,84,78,43,60,57,40,9,85,67,0,0,46,49,59,49,74,74,63,25,15,0,15,67,69,55,62,81,71,0,44,76,54,66,69,64,81,90,0,70,19,65,21,75,90,8,34,65,80,0,25,55,65,36,100,81,19,34,63,27,16,67,61,21,71,83,83,83,83,0,60,27,32,42,71,24,29,76,64,0,70,71,66,72,31,0,84,41,16,60,5,79,72,0,73,64,60,0,86,88,53,79,78,46,95,37,0,44,70,45,67,43,91,90,0,3089
2013-04,4279889,74,100,47,58,46,66,76,72,76,46,86,57,69,80,64,70,91,61,43,47,51,64,81,72,76,84,48,76,69,86,6,70,77,87,36,62,69,64,32,37,65,92,40,22,51,58,24,85,83,70,61,61,56,11,77,71,76,64,41,60,41,58,79,51,38,80,77,70,67,45,60,61,47,43,34,71618,14079,75,64,76,26,59,65,45,0,84,55,0,0,32,54,48,54,56,76,62,19,14,42,15,63,58,85,51,53,68,0,46,69,27,39,76,53,56,84,0,56,51,49,23,44,87,24,26,37,75,0,47,75,53,64,87,74,28,0,69,28,28,65,31,0,56,84,75,75,62,0,59,41,0,77,70,0,29,69,53,0,69,56,68,52,27,0,74,38,17,73,12,84,63,0,75,51,63,0,73,75,63,73,74,66,82,30,0,46,56,46,57,49,76,84,0,2445
