date,arrival,seasonality,hong kong casino,shows in macau,singapore to macau,macau airlines,macau on map,tiger airways,cathay pacific,show in macau,macau venetian,galaxy macau hotel,macau grand hotel,macau tauranga,casino in macau,mgm macau,macau ferry terminal,macau restaurant jamaica,macao,map of hong kong,macau food festival,cheap flights,hong kong to macau travel time,venetian hotel macau,macau nightlife,royal hotel,macau ferry schedule,cebu pacific,jetstar,thailand,flights to hong kong,macau food,macau hotel venetian,hotel in macau,flights to macau,hong kong macau ferry,weather in macau,macau restaurant menu,macau weather,wing on travel,china map,macaulay culkin,taboo show macau,dancing water show macau schedule,best food in macau,hotel macau,agoda,macau hotel,hongkong,asia travel,city of dreams macau,hong kong airport to macau,hong kong airport to macau ferry,dancing water macau,macau magic show,china,weather hong kong,macau portuguese restaurant,best food in hong kong,macau china weather,macau gaming lounge & bar,galaxy macau,hong kong ferry to macau,ferry terminal,hong kong light show,travel to macau,macau chinese restaurant,hk to macau ferry,casinos macau,macau tourism,macau shows,indian restaurant in macau,hong kong macau,bangkok,super show 4 macau,hong kong airport,restaurant in macau,macau food festival 2015,macau restaurants,best restaurant in macau,macau water show,china travel,macau travel guide,galaxy casino macau,openrice,hong kong shopping,hongkong weather,good food in macau,hong kong hotel,macau restaurant hong kong,hongkong macau,weather in macau in december,weather forecast,accommodation in macau,cheap flights to macau,venetian macau shopping,agoda macau,hong kong,macau currency,macau shopping festival,iifa awards 2013 full show,hong kong weather forecast,venetian,heart bar macau,galaxy,weather forecast in macau,halal food in hong kong,food in macau,banyan tree macau,macau cheap flights,venetian hotel,macau food blog,macau tourism board,hong kong travel,flights to macau from singapore,mgm,city of dreams,macau tour package,macau travel blog,macau gaming show,the house of dancing water,weather hk,hong kong disneyland,hong kong macau map,macau time,hong kong ferry,air asia,macau weather today,weather singapore,best hotel macau,sands casino,halal food in macau,macau show bar,lisboa casino,hotel lisboa macau,singapore,from hong kong to macau,venetian casino macau,shopping in hong kong,venetian macau casino,shopping in macau,macau food festival 2014,singapore airlines,hong kong tourism,venetian macau,macau shopping mall,macau shopping guide,ferry macau to hong kong airport,hk to macau,macau food guide,hong kong weather,casino lisboa macau,world map,hong kong to macau ferry,macau hotels,macau food festival 2017,air macau,macau things to do,google flights,hotel lisboa,macau china,google map,what to do in macau,wing on travel macau,macau food festival 2012,weather in hong kong,galaxy casino,hongkong tourism,hong kong to macau,wynn casino,macao restaurant,macau city,macau light show,map of macau,macau weather december,house of dancing water,macau airport,hongkong macau ferry,macau restaurant tauranga,ferry to macau,macau hk ferry,travel agency,wynn macau,macau food festival 2016,macau casino,macau island,restaurants in macau,macau ferry,ferry macau hong kong,macau ferry terminal hong kong,hongkong map,macau ferry from hong kong,macau ferry terminal map,ozone bar hong kong,galaxy hotel,iifa awards 2013 macau full show,macau galaxy,macau map,hotel in hong kong,weather forecast hong kong,macau world map,venetian casino,airasia,macau package,hong kong map,grand macau casino,hong kong ferry terminal,macau tower,bali,macau hong kong,macao casino,food festival macau,skyscanner,AGODA,macaulay culkin,Skyscanner,Country
2011-11,3553000,-53976.02918,75,82,91,91,66,67,56,92,79,82,85,0,83,75,76,0,67,51,63,70,22,88,78,71,76,86,78,51,80,71,88,84,67,89,68,27,64,68,72,10,0,59,53,81,52,81,55,78,60,66,87,66,0,93,68,16,31,20,0,41,78,41,37,75,48,67,53,96,78,23,90,69,0,88,56,0,74,45,87,73,43,18,79,98,86,0,95,73,74,61,57,48,65,51,35,88,60,0,0,83,77,0,56,100,40,49,64,68,55,37,57,82,81,52,18,67,52,0,63,46,81,84,29,43,31,8,47,84,53,43,0,79,100,88,99,78,100,78,75,0,93,93,79,58,0,87,69,34,68,61,59,78,87,0,81,60,5,67,60,71,66,22,0,89,73,76,81,66,61,43,23,91,64,79,87,97,0,77,59,76,77,0,86,78,58,89,89,58,84,79,100,38,66,0,41,71,91,83,69,61,29,65,71,75,65,74,42,90,67,63,15,28146,2217,4662,HK
2011-12,4151000,466441.1732,54,88,88,71,30,65,50,64,69,83,58,0,50,91,73,0,53,51,17,63,44,68,89,63,54,72,80,47,68,56,68,60,66,69,84,18,65,51,58,27,0,57,0,73,54,73,56,73,53,66,60,68,0,85,73,56,42,79,0,54,68,41,43,70,19,47,46,81,84,23,82,63,0,90,67,0,73,17,76,62,43,25,92,96,100,0,79,88,77,65,67,23,53,60,52,82,88,31,0,71,74,0,67,34,69,59,38,82,52,54,69,67,89,51,16,61,39,0,67,53,75,72,26,33,32,11,54,69,54,42,0,100,58,84,66,70,93,70,77,0,82,84,69,56,45,60,50,33,73,60,54,68,76,0,70,57,5,57,63,68,38,21,31,85,59,75,69,72,70,35,23,74,60,77,72,77,0,68,39,71,67,0,60,68,81,79,69,60,70,58,52,45,68,0,54,76,82,71,58,61,30,62,62,60,55,68,38,82,41,17,14,30214,2742,5070,HK
2012-01,4142000,456961.4053,73,67,75,74,33,66,54,75,70,64,57,0,60,61,71,0,60,51,0,86,40,61,84,80,76,100,82,52,83,42,61,60,55,76,71,24,64,46,68,10,0,53,57,65,57,65,52,79,51,71,36,55,32,85,64,67,21,36,0,50,74,37,36,78,43,66,58,68,57,0,78,69,28,84,53,0,56,24,49,73,39,31,81,78,72,0,77,30,57,20,72,65,30,37,45,80,74,29,0,67,86,0,59,23,45,50,40,52,66,33,52,69,55,59,19,60,24,0,62,52,71,66,18,34,28,28,40,64,100,39,27,46,78,83,80,53,72,53,60,0,100,79,70,43,0,36,55,31,64,65,63,74,73,0,73,50,7,64,63,69,48,10,0,80,56,55,77,69,40,30,21,77,6,59,83,69,0,75,61,86,66,0,66,74,64,77,76,52,70,77,32,24,63,0,50,64,78,67,74,85,31,62,62,74,60,65,44,78,52,0,22,30347,2301,6057,HK
2012-02,3371000,-263588.2435,62,35,71,88,28,70,56,83,72,57,53,0,69,71,73,0,63,47,0,80,42,60,95,79,56,86,87,49,81,39,60,71,64,74,82,17,68,61,69,60,0,0,30,73,61,73,55,76,61,51,80,53,0,88,72,39,41,76,0,48,63,39,35,55,36,43,60,90,70,43,86,66,97,83,50,0,78,42,55,78,33,39,84,85,72,36,89,63,69,16,82,45,31,59,65,85,57,30,0,77,84,0,59,33,47,41,47,74,63,70,24,74,48,65,18,52,37,0,52,59,73,63,23,39,26,18,38,57,77,41,0,57,72,87,74,70,88,70,59,0,100,79,72,36,88,80,52,32,72,29,62,63,75,0,84,47,6,71,69,69,73,0,0,82,63,38,73,70,48,37,0,74,13,60,71,47,0,62,47,88,75,0,63,52,55,64,74,65,62,78,89,30,68,0,48,65,95,77,34,67,43,61,62,38,87,70,45,86,49,0,20,35901,2814,8343,HK
2012-03,3709000,-321216.6591,79,59,86,88,27,69,57,50,68,79,49,0,62,69,78,0,56,57,16,77,29,65,63,79,49,87,82,47,84,54,65,68,59,86,81,16,64,61,72,17,0,0,19,73,63,73,59,77,53,76,54,64,0,89,72,73,40,53,0,47,67,41,43,72,17,38,54,73,75,0,86,61,100,91,27,0,58,16,52,78,99,22,75,84,63,49,87,59,75,10,73,21,82,36,69,88,56,0,0,82,80,0,59,26,44,48,44,88,56,32,45,76,45,65,18,80,23,42,46,60,78,83,25,41,23,34,41,69,66,38,27,46,80,83,85,60,77,60,52,0,91,78,68,0,0,54,56,59,72,41,58,67,66,0,87,48,6,78,71,72,63,14,56,88,53,63,72,75,66,32,0,62,6,65,93,50,0,74,63,82,71,0,64,54,55,73,86,67,87,61,93,33,67,0,47,69,90,82,64,63,37,58,72,84,69,49,41,86,53,16,21,37330,2524,8398,HK
2012-04,3840000,-126199.2564,89,41,73,79,50,66,54,56,64,69,48,0,70,73,56,0,55,51,17,67,20,63,76,79,79,75,77,46,82,45,63,71,62,76,65,41,60,54,70,20,0,0,20,69,65,69,56,70,56,73,54,53,0,88,66,53,32,93,0,58,61,46,48,76,17,49,64,71,27,42,82,60,19,91,69,0,59,57,52,75,64,23,81,85,59,34,83,93,69,10,80,33,55,47,54,85,62,29,0,75,80,0,62,46,41,58,47,82,54,0,18,72,56,64,16,68,48,44,51,62,69,79,20,40,19,18,45,63,65,59,0,49,47,83,73,69,78,69,79,0,83,86,64,35,0,54,58,62,66,89,55,61,71,0,71,55,6,74,62,73,66,10,0,73,64,65,72,57,65,36,0,68,6,68,72,64,0,68,54,79,71,0,77,68,46,76,76,59,81,86,59,27,68,0,58,64,85,75,46,65,30,55,65,63,67,60,41,82,51,17,22,35266,2479,8799,HK
2012-05,3639000,-304838.2286,76,26,74,76,42,68,50,61,69,78,57,0,69,87,64,0,86,47,0,71,58,65,55,79,62,66,87,46,85,43,65,68,51,74,51,16,37,56,66,12,0,0,55,71,65,71,54,71,48,59,86,59,0,87,48,21,37,52,0,51,68,53,52,84,41,49,81,74,64,20,83,60,0,78,51,0,54,31,51,72,30,24,81,88,39,0,81,92,71,10,87,21,47,53,51,85,75,55,0,65,78,0,73,13,30,40,69,68,59,32,28,70,79,62,22,72,34,42,48,42,75,60,24,39,21,20,37,60,68,37,0,33,79,86,68,65,85,65,78,0,83,82,69,100,40,86,53,29,48,62,54,68,71,0,83,45,6,72,62,72,54,9,0,61,65,49,76,65,100,36,40,63,9,61,80,51,0,73,58,81,71,0,70,58,65,72,74,75,68,59,51,27,77,0,51,71,77,65,83,66,38,71,66,83,65,79,41,83,41,0,23,37440,2234,9814,HK
2012-06,3621000,-491824.2772,74,40,81,74,16,73,47,59,67,100,47,0,58,80,62,0,56,42,0,75,39,62,70,86,49,56,78,50,76,44,62,65,59,75,36,16,62,61,53,13,22,52,38,69,66,69,53,68,48,68,69,57,0,85,60,58,43,78,0,56,66,58,43,84,34,50,57,66,56,0,85,61,0,86,50,0,62,32,65,69,93,41,87,86,38,0,77,30,75,10,98,32,44,100,53,82,63,28,0,74,83,0,79,9,31,36,72,84,60,33,45,71,54,58,25,94,23,21,57,81,69,61,21,39,18,7,36,61,65,38,0,26,64,86,67,84,81,84,59,0,84,68,67,60,41,69,49,0,60,50,50,66,71,0,89,45,6,71,71,75,74,10,0,60,74,60,77,64,57,33,41,53,9,63,81,64,0,69,53,82,71,0,79,70,55,72,75,67,62,53,21,28,90,0,56,61,75,74,61,68,33,66,61,42,78,65,42,85,50,0,24,36571,2240,8714,HK
2012-07,4370000,259067.8458,67,65,67,74,21,84,51,46,68,91,54,0,58,98,75,0,56,43,8,76,67,61,62,92,54,61,82,50,93,45,61,66,85,85,57,47,67,56,51,14,28,0,37,78,71,78,54,73,48,73,68,63,0,85,77,36,31,47,0,61,80,65,68,74,25,51,56,60,100,30,82,65,18,98,65,0,75,31,69,72,83,30,92,96,57,33,80,68,72,10,94,21,57,80,70,86,58,28,0,94,89,0,82,22,44,45,73,77,64,80,39,71,26,62,24,62,34,0,55,88,71,65,22,43,21,13,40,60,75,37,53,25,76,87,78,82,82,82,51,0,86,58,68,50,0,68,56,29,77,45,51,80,73,0,92,56,7,88,67,77,62,47,28,74,62,52,77,68,59,40,0,60,6,65,93,64,0,78,67,86,59,0,66,65,58,76,85,74,57,66,72,38,100,0,61,59,82,94,52,65,37,73,63,77,89,78,44,82,58,8,26,48521,2672,9736,HK
2012-08,4899000,592309.1494,63,33,74,96,26,82,53,69,66,84,45,0,71,81,72,0,60,53,0,71,49,66,56,89,61,66,83,49,90,48,66,77,74,79,61,24,72,65,56,53,36,0,46,78,73,78,54,72,56,62,72,53,31,90,67,29,49,53,0,54,76,65,53,76,50,70,85,55,68,40,89,65,18,94,57,0,60,55,66,74,53,22,96,80,44,33,85,88,73,34,79,21,62,89,85,91,74,0,0,93,88,0,82,39,22,35,68,73,65,48,39,72,80,61,37,65,57,0,57,89,69,84,24,42,20,13,40,77,79,0,0,26,61,88,87,94,74,94,65,0,81,70,66,84,0,72,62,74,67,31,56,76,73,0,92,54,7,78,64,75,42,33,0,64,59,75,78,68,53,34,0,51,24,77,84,59,0,80,93,81,54,0,74,73,29,86,79,71,63,73,93,38,94,0,54,78,91,93,36,73,34,65,67,42,70,72,46,89,46,0,25,55850,3815,9691,HK
2012-09,3785000,-348625.7375,82,39,62,81,21,85,49,88,60,75,59,0,87,76,88,22,61,51,23,65,48,62,70,78,63,65,83,52,91,55,62,68,92,82,62,16,32,67,65,56,28,52,0,77,72,77,56,77,59,71,87,59,0,94,45,79,43,18,0,48,81,49,35,86,25,68,77,79,68,0,88,66,0,86,38,0,61,47,55,73,76,26,79,93,41,0,88,59,74,38,64,31,100,36,74,89,60,28,0,58,82,0,91,48,39,43,46,78,57,0,28,71,62,59,52,94,34,21,61,37,78,69,26,47,22,7,40,75,63,38,26,31,90,92,88,85,87,85,92,0,79,72,60,92,80,87,72,29,45,67,63,81,77,0,81,58,7,79,64,76,47,14,28,61,70,71,85,68,41,35,20,69,32,66,86,64,0,79,76,74,58,0,68,80,47,87,82,80,60,74,87,47,85,0,48,60,90,58,40,63,42,59,67,36,68,74,44,88,70,23,25,50302,2526,9030,HK
2012-10,4244000,135488.8577,61,59,80,77,38,78,48,100,63,72,43,0,74,89,60,20,61,51,32,60,61,66,69,74,73,75,84,50,83,63,66,73,58,92,72,70,42,56,56,17,0,46,25,74,75,74,59,72,49,79,91,63,28,84,50,52,51,48,0,44,89,45,42,81,15,72,46,72,64,18,88,64,0,85,51,0,58,14,42,68,82,29,81,91,53,29,88,92,69,26,66,47,69,24,83,88,64,25,0,61,76,0,89,31,43,48,47,66,52,58,55,74,87,54,38,75,21,0,34,33,83,78,24,100,21,12,43,97,66,34,0,43,87,86,85,79,89,79,52,0,75,69,63,45,36,91,76,27,50,36,54,89,74,0,84,47,7,72,68,72,49,21,100,82,86,67,77,55,37,41,27,54,29,70,94,79,0,85,89,76,59,0,77,65,59,88,92,74,67,81,69,34,79,0,44,61,85,61,39,60,40,57,67,43,86,69,42,88,53,32,25,49588,2093,10041,HK
2012-11,4217000,-53976.02918,82,77,86,88,53,82,47,56,62,76,56,0,100,67,77,0,100,39,68,55,44,63,64,68,92,73,77,51,78,55,63,71,82,99,78,29,71,67,57,21,13,0,34,75,75,75,64,73,48,77,90,59,0,83,69,79,31,43,0,46,84,40,40,81,38,83,53,71,86,37,91,66,0,82,52,0,72,64,47,57,83,29,82,91,78,45,83,85,81,92,56,19,61,24,87,89,76,25,0,92,72,0,90,40,60,37,49,54,47,29,41,62,56,53,34,76,42,0,62,52,83,85,40,43,22,18,53,61,62,0,48,43,85,83,95,75,83,75,44,0,72,66,62,53,37,90,69,40,69,65,51,84,70,0,84,45,7,58,76,67,45,17,89,89,97,53,83,51,57,37,37,73,86,70,94,63,0,87,94,72,64,0,100,79,50,88,99,83,59,92,66,55,78,0,46,68,80,92,55,54,41,67,63,54,83,71,40,91,97,68,23,53359,2325,10478,HK
2012-12,4778000,466441.1732,86,65,71,58,33,80,45,48,61,64,34,0,65,75,90,20,62,37,7,52,61,53,66,61,76,61,82,52,68,54,53,64,49,91,99,28,79,57,51,43,0,47,17,63,76,63,66,65,44,70,60,78,0,84,73,58,63,90,0,42,80,41,44,64,53,76,46,61,73,18,89,65,0,82,69,0,72,35,61,56,62,27,92,91,71,29,69,53,79,78,74,38,30,65,70,83,72,76,1,90,68,0,100,32,59,55,34,37,44,29,55,57,56,63,34,53,21,0,65,72,79,68,28,43,19,21,52,53,70,34,0,57,57,83,87,100,87,100,77,0,64,61,61,61,0,60,62,27,73,28,50,80,60,0,70,62,7,52,61,66,61,13,0,90,100,43,83,46,64,37,27,52,51,74,84,64,0,71,87,69,58,0,77,94,56,89,91,80,51,72,56,51,79,0,42,62,71,90,47,53,37,53,59,38,79,82,40,89,58,7,21,53979,2900,10488,HK
